,subject,trial,object,colors,scenes,object_appear,feature_disappear,difficulty_question_appear,difficulty_answer_time
20,101,21,candle,red,living_room,2026-03-14_18-58-11.323,2026-03-14_18-58-14.336,2026-03-14_18-58-16.147,2026-03-14_18-58-17.083
21,101,22,coat,green,living_room,2026-03-14_18-58-20.562,2026-03-14_18-58-23.576,2026-03-14_18-58-25.002,2026-03-14_18-58-26.519
22,101,23,trash can,green,kitchen,2026-03-14_18-58-30.198,2026-03-14_18-58-33.211,2026-03-14_18-58-34.486,2026-03-14_18-58-35.230
23,101,24,apple,yellow,living_room,2026-03-14_18-58-39.566,2026-03-14_18-58-42.579,2026-03-14_18-58-44.518,2026-03-14_18-58-47.081
24,101,25,baby,red,bathroom,2026-03-14_18-58-50.888,2026-03-14_18-58-53.901,2026-03-14_18-58-55.787,2026-03-14_18-58-58.483
25,101,26,woman,yellow,kitchen,2026-03-14_18-59-02.896,2026-03-14_18-59-05.910,2026-03-14_18-59-06.934,2026-03-14_18-59-09.662
26,101,27,iphone,green,bathroom,2026-03-14_18-59-13.700,2026-03-14_18-59-16.713,2026-03-14_18-59-18.166,2026-03-14_18-59-19.435
27,101,28,wipes,yellow,kitchen,2026-03-14_19-03-00.047,2026-03-14_19-03-03.060,2026-03-14_19-03-05.083,2026-03-14_19-03-06.283
28,101,29,shirt,yellow,bathroom,2026-03-14_19-03-09.650,2026-03-14_19-03-12.663,2026-03-14_19-03-13.818,2026-03-14_19-03-16.238
29,101,30,closet,red,living_room,2026-03-14_19-03-19.725,2026-03-14_19-03-22.738,2026-03-14_19-03-24.725,2026-03-14_19-03-25.905
30,101,31,sprey,red,living_room,2026-03-14_19-03-29.890,2026-03-14_19-03-32.904,2026-03-14_19-03-34.252,2026-03-14_19-03-36.675
31,101,32,towel,green,bathroom,2026-03-14_19-03-40.463,2026-03-14_19-03-43.476,2026-03-14_19-03-44.804,2026-03-14_19-03-46.046
32,101,33,bucket,red,kitchen,2026-03-14_19-03-50.099,2026-03-14_19-03-53.113,2026-03-14_19-03-54.959,2026-03-14_19-03-56.345
33,101,34,ladder,yellow,kitchen,2026-03-14_19-04-00.532,2026-03-14_19-04-03.545,2026-03-14_19-04-05.170,2026-03-14_19-04-08.568
34,101,35,shoe,green,bathroom,2026-03-14_19-04-11.872,2026-03-14_19-04-14.885,2026-03-14_19-04-16.494,2026-03-14_19-04-21.986
35,101,36,headphones,green,living_room,2026-03-14_19-04-25.932,2026-03-14_19-04-28.945,2026-03-14_19-04-30.035,2026-03-14_19-04-31.592
36,101,37,sponge,yellow,kitchen,2026-03-14_19-08-07.700,2026-03-14_19-08-10.713,2026-03-14_19-08-12.261,2026-03-14_19-08-13.942
37,101,38,laptop,red,living_room,2026-03-14_19-08-17.270,2026-03-14_19-08-20.285,2026-03-14_19-08-22.303,2026-03-14_19-08-22.845
38,101,39,ball,yellow,living_room,2026-03-14_19-08-26.753,2026-03-14_19-08-29.766,2026-03-14_19-08-31.482,2026-03-14_19-08-33.022
39,101,40,keyboard,green,kitchen,2026-03-14_19-08-36.330,2026-03-14_19-08-39.343,2026-03-14_19-08-41.142,2026-03-14_19-08-42.626
40,101,41,air_conditioner,green,bathroom,2026-03-14_19-08-46.678,2026-03-14_19-08-49.691,2026-03-14_19-08-50.942,2026-03-14_19-08-51.429
41,101,42,clock,red,bathroom,2026-03-14_19-08-55.739,2026-03-14_19-08-58.752,2026-03-14_19-09-00.354,2026-03-14_19-09-06.626
42,101,43,painting,green,living_room,2026-03-14_19-09-10.180,2026-03-14_19-09-13.194,2026-03-14_19-09-14.618,2026-03-14_19-09-18.010
