,subject,trial,verb,trial_index,cue_verb_appear,recalled,recall_key_time,cue_verb_disappear,animacy_question_appear,animacy_answer,animacy_answer_time
0,5555,1,לנסוע,0,2026-06-07_23-51-30.181,False,2026-06-07_23-51-37.191,2026-06-07_23-51-39.201,2026-06-07_23-51-39.208,inanimate,2026-06-07_23-51-39.576
1,5555,2,לאכול,1,2026-06-07_23-51-40.216,False,2026-06-07_23-51-47.226,2026-06-07_23-51-49.236,2026-06-07_23-51-49.243,inanimate,2026-06-07_23-51-58.325
2,5555,3,לקרוא,2,2026-06-07_23-51-59.652,False,2026-06-07_23-52-06.662,2026-06-07_23-52-08.672,2026-06-07_23-52-08.678,inanimate,2026-06-07_23-52-31.972
3,5555,4,לרוץ,3,2026-06-07_23-52-33.387,False,2026-06-07_23-52-40.397,2026-06-07_23-52-42.407,2026-06-07_23-52-42.415,animate,2026-06-07_23-52-42.966
4,5555,5,לשתות,4,2026-06-07_23-52-43.875,True,2026-06-07_23-52-50.870,2026-06-07_23-52-52.880,2026-06-07_23-52-52.886,inanimate,2026-06-07_23-52-53.315
5,5555,6,לקפוץ,5,2026-06-07_23-52-54.554,True,2026-06-07_23-53-01.221,2026-06-07_23-53-03.231,2026-06-07_23-53-03.239,inanimate,2026-06-07_23-53-03.560
6,5555,7,לכתוב,6,2026-06-07_23-53-04.590,False,2026-06-07_23-53-11.600,2026-06-07_23-53-13.610,2026-06-07_23-53-13.618,inanimate,2026-06-07_23-53-18.441
7,5555,8,לקרוא,7,2026-06-07_23-30-26.183,True,2026-06-07_23-30-30.168,2026-06-07_23-30-32.178,2026-06-07_23-30-32.185,inanimate,2026-06-07_23-30-32.568
8,5555,9,להתקשר,8,2026-06-07_23-30-33.224,True,2026-06-07_23-30-35.553,2026-06-07_23-30-37.563,2026-06-07_23-30-37.569,inanimate,2026-06-07_23-30-38.072
9,5555,10,לשיר,9,2026-06-07_23-30-39.539,False,2026-06-07_23-30-46.549,2026-06-07_23-30-48.559,2026-06-07_23-30-48.566,animate,2026-06-07_23-30-49.038
10,5555,11,לקפוץ,10,2026-06-07_23-30-49.758,False,2026-06-07_23-30-56.768,2026-06-07_23-30-58.778,2026-06-07_23-30-58.785,animate,2026-06-07_23-30-59.148
11,5555,12,לטפס,11,2026-06-07_23-30-59.959,False,2026-06-07_23-31-06.969,2026-06-07_23-31-08.979,2026-06-07_23-31-08.986,inanimate,2026-06-07_23-31-12.407
